Column,Private Equity,Column,Real estate,Column,TRDL,Column,MSP,Column,Total,Column
Kes M,Sep-20,Mar-20,Sep-20,Mar-20,Sep-20,Mar-20,Sep-20,Mar-20,Sep-20,Mar-20
Investment portfolio,"9,836","10,235","26,312","29,846","6,486","7,034","2,902","2,902","45,536","50,017"
Marketable securities,-,-,-,-,-,-,"3,623","3,151","3,623","3,151"
Cash and cash equivalent,-,-,-,-,-,-,"1,743","2,912","1,743","2,912"
Receivables and prepayments,470,629,-,-,-,-,-,-,470,629
PPE and intangible assets,134,142,-,-,-,-,-,-,134,142
Total assets,"10,440","11,006","26,312","29,846","6,486","7,034","8,269","8,965","51,506","56,850"
Borrowings,-,-,"3,065","6,722",522,763,-,-,"3,587","7,486"
Deferred tax liabilities,58,88,799,869,231,238,-,-,"1,087","1,196"
Other liabilities,415,730,"1,074",-,-,-,-,-,"1,488",730
Total liabilities,473,818,"4,937","7,592",753,"1,001",-,-,"6,163","9,411"
,-,-,-,-,-,-,-,-,-,-
Net asset value,"9,967","10,188","21,375","22,254","5,733","6,032","8,269","8,965","45,344","47,439"
NAV/Share (Kes),15.0,15.3,32.1,33.4,8.6,9.1,12.4,13.5,68.1,71.3
