"106% growth in consolidated top line from KES 11.8 bn to KES 24.2 bn
25% yoy growth in profitability from KES 7.9 bn to KES 9.9 bn",Column,Column,Column
KES million,FY 2016,FY 2015,Variance
Sale of Beverages,"8,141",37,21903%
Realised Gain on Sale of Investments,"5,419","6,289",-14%
Unrealised Gains on Valuation of Investment Properties,"5,119","1,737",195%
Interest Income,"3,844","1,066",261%
Other Income,"1,376","1,145",20%
Gain on Re-measurement to Fair Value Upon Control,-,827,-100%
Dividend Income,266,725,-63%
Total Revenue,"24,165","11,826",104%
Cost of Sales - Beverages,"(5,365)",(23),23226%
Administration and Operating Expenses,"(5,925)","(2,436)",143%
Share of Associates Profits,"1,074",448,140%
Finance Costs,"(3,076)",(998),208%
Profit Before Tax,"10,873","8,817",23%
Tax,(925),(875),6%
Profit After Tax,"9,948","7,942",25%
