Portfolio Companies,Stake,Sector,Carrying Value (KES Mn),Column,"Valuation
Method"
,,,31-Mar-18,31-Mar-17,
Real Estate Portfolio,,,,,
Vipingo Development Limited,100.00%,Real Estate,"8,659","5,718",NAV
Two Rivers Development Limited,58.30%,Real Estate,"12,389","14,490",NAV
Uhuru Heights,100%,Real Estate,856,835,NAV
Centum Development Limited,100.00%,Real Estate,"7,464","4,178",NAV
Athena Properties Limited,100.00%,Real Estate,150,25,NAV
Broll,30.00%,Real Estate,37,-,NAV
Two Rivers Luxury Apartments,100.00%,Real Estate,37,-,NAV
Total,,,"29,591","25,247",
Marketable Securities and WC,,,,,
Centum Exotics Limited,100.00%,"Marketable
Securities","3,589","3,134",Market price
Centum – QPE,100.00%,"Marketable
Securities",98,100,Market price
Receivables,100.00%,,"1,271",622,Cost
Cash,100.00%,,"1,078","2,447",Cost
Total,,,"6,036","6,303",
,,,"66,087","61,570",
