Group,Column,"Lifetime expected credit losses
(see note below)",Column,Column,Column
Basis for measurement of loss allowance,"12-month
expected
credit
losses",,,,
,,(a),(b),(c),Total
,Ksh’000,Ksh’000,Ksh’000,Ksh’000,Ksh'000
At 31 March 2024,,,,,
Government securities,"204,886",-,-,-,"204,886"
Corporate bonds and commercial papers,"379,232",-,-,-,"379,232"
Loans and advances,"250,859","15,576","23,812",-,"290,247"
Finance lease receivables,"8,500",-,-,-,"8,500"
Call deposits,"988,600",-,-,-,"988,600"
Bank balances,"442,513",-,-,-,"442,513"
Trade and other receivables,-,-,-,"5,568,317","5,568,317"
Gross carrying amount,"2,274,590","15,576","23,812","5,568,317","7,882,295"
Loss allowance,"(19,067)",-,-,"(4,183,457)","(4,202,524)"
Exposure to credit risk,"2,255,523","15,576","23,812","1,384,860","3,679,771"
At 31 March 2023,,,,,
Government securities,"961,825",-,-,-,"961,825"
Corporate bonds and commercial papers,"927,534",-,-,-,"927,534"
Loans and advances,"104,238",-,-,"3,421","107,659"
Finance lease receivables,"227,835",-,-,-,"227,835"
Call deposits,"86,531",-,-,-,"86,531"
Bank balances,"3,568,202",-,-,-,"3,568,202"
Trade and other receivables,-,-,-,"5,647,446","5,647,446"
Gross carrying amount,"5,876,165",-,-,"5,650,867","11,527,032"
Loss allowance,"(6,732)",-,-,"(4,008,958)","(4,015,690)"
Exposure to credit risk,"5,869,433",-,-,"1,641,909","7,511,342"
