Deferred income tax liabilities,Column,Column,Column,Column,Column
Property and equipment,"51,424,061",-,"3,498,544",-,"54,922,605"
Unrealised foreign exchange loss,"(11,135,828)",-,"3,346,336",-,"(7,789,492)"
Right of use asset,"258,830",-,"(59,689)",-,"199,141"
Retirement benefit asset,"334,968",-,"(263,218)","148,514","220,264"
,"40,882,031",-,"6,521,973","148,514","47,552,518"
Deferred income tax assets,,,,,
Lease liabilities,"(258,371)",-,"65,926",-,"(192,445)"
Provisions,"(9,522,348)",-,"(333,025)","19,037","(9,836,336)"
Tax losses,"(3,883,834)","156,929","3,726,905",-,-
Prior year adjustments,-,,,,
,"(13,664,553)","156,929","3,459,806","19,037","(10,028,781)"
Net deferred income tax liabilities,"27,217,478","156,929","9,981,779","167,551","37,523,737"
