Column,2023,2022
,,Restated
,Shs’000,Shs’000
KenGen*,"45,549,354","38,696,805"
Lake Turkana Wind Power,"20,523,716","17,472,186"
OrPower 4 Inc.,"14,399,546","11,958,036"
Kipeto Energy Plc,"7,345,768","5,897,927"
Uganda Electricity Transmission Company Limited,"3,723,280","3,874,081"
Rabai Power Limited,"3,571,691","3,221,298"
Triumph Power Generating Company Limited,"3,444,654","3,083,219"
Thika Power Limited,"2,821,950","2,585,933"
Gulf Power Limited,"2,759,940","2,323,668"
Iberafrica Power (E.A.) Company Limited,"2,348,949","1,990,484"
Cedate,"1,585,786","1,307,978"
Selenkei Solar Farm,"1,458,990","1,281,976"
Malindi,"1,609,038","705,880"
Garissa Solar Power Plant,"616,189","568,143"
Alten Kenya Solarfarm,"1,290,964",-
Sosian Menengai Geothermal,"44,929",-
Tsavo Power Company Limited,-,"453,343"
Gura,"115,228","181,028"
Regen-Terem,"257,036","169,115"
Metumi Power Plant,"175,191","105,804"
Ethiopia Electric Utility,"3,350,379","95,412"
Hydro Project Services Peters,"21,568","24,227"
Power Technology Solutions Limited,"13,264","10,212"
Chania Power Limited,"3,305","7,978"
Biojoule Kenya Limited,"2,927","4,448"
Imenti Tea Factory,"2,098","1,072"
Strathmore University,"1,347",656
,"117,037,087","96,020,909"
Less:,,
Foreign exchange surcharge,"(15,982,432)","(9,072,591)"
Recharged to RES,"(7,623,743)","(6,293,166)"
,"93,430,912","80,655,152"
