REGION,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Nairobi North,6.7,9.2,13.1,15.1,13.9,13.7
Nairobi South,10.0,6.7,5.6,8.4,8.6,11.8
Nairobi West,7.5,8.3,9.8,8.5,8.4,9.4
Coast,3.8,4.0,4.6,7.2,7.4,10.4
Central Rift,1.6,2.4,4.9,7.2,7.7,7.7
West Kenya,0.2,0.9,3.8,2.7,5.1,5.3
North Rift,1.1,1.2,2.4,3.2,3.0,4.5
South Nyanza,0.0,0.1,0.3,1.6,0.8,1.4
Mt Kenya,2.2,4.3,6.6,7.4,7.3,7.3
North Eastern,2.7,2.8,5.5,5.7,5.8,6.0
TOTAL,35.7,39.9,56.5,66.9,68.1,77.4
% Increase P.A.,78.7%,11.6%,41.6%,18.4%,1.9%,13.7%
