TARIFF,"MAIN TYPE OF
CUSTOMERS
COVERED BY THIS
TARIFF",2014/15,2015/16,2016/17,2017/18,2018/19
DC only,Domestic,,,,,
,KPLC,"2,646,965","3,665,216","4,628,435","5,135,226","5,390,996"
,REP,"600,244","861,110","1,153,031","1,215,721","1,291,141"
DC & IT1,Domestic,,,,,
,KPLC,"57,827","38,816","57,442","53,172",N/A
,REP,898,765,957,513,N/A
SC only,Small Commercial,,,,,
,KPLC,"193,327","202,477","211,655","224,276","251,614"
,REP,"101,608","109,588","114,893","115,412","117,705"
SC & IT1,Small Commercial,,,,,
,KPLC,"1,548","1,470","1,741","1,473",N/A
,REP,252,229,287,145,N/A
C11,KPLC,"2,930","3,068","3,126","3,202","3,038"
,REP,10,19,24,25,22
CI2,"Large Commercial
and Industrial",,,,,
,KPLC,348,378,405,527,456
CI3,"Large Commercial
and Industrial",,,,,
,KPLC,43,43,57,64,69
CI4,"Large Commercial
and Industrial",,,,,
,KPLC,31,35,41,53,50
CI5,"Large Commercial
and Industrial",,,,,
,KPLC,32,32,33,41,37
IT only1,"Off-peak
(Interruptible)",,,,,
,KPLC,794,796,791,"1,110",N/A
,REP,8,13,8,10,N/A
SL,Street lighting,,,,,
,KPLC,"4,869","6,024","9,046","9,845","12,345"
,REP,170,294,310,275,388
,TOTAL (KPLC),"2,908,714","3,918,355","4,912,772","5,428,989","5,658,605"
,TOTAL (R.E.P.),"703,190","972,018","1,269,510","1,332,101","1,409,256"
,GROSS TOTAL,"3,611,904","4,890,373","6,182,282","6,761,090","7,067,861"
,% INCREASE P.A.,30.5%,35.4%,26.4%,9.4%,4.5%
