Column,"2022
Shs’000","2021
Shs’000"
KenGen,"9,664,443","3,662,996"
Rabai Power Limited,"7,369,065","2,386,223"
Thika Power Limited,"3,259,748","1,024,007"
Iberafrica Power (E.A.) Company Limited,"1,359,461","504,868"
Tsavo Power Company Limited,"597,293","1,604,704"
Off grid power stations,"3,772,310","2,287,744"
Gulf Power Limited,"1,288,634","294,349"
Triumph Power Generating Company Limited,"1,055,583","241,953"
,"28,366,537","12,006,844"
Less:,,
Recharged to RES,"(1,878,842)","(822,652)"
,"26,487,695","11,184,192"
