Column,"2022
Shs’000","2021
Shs’000"
Salaries and wages,"4,828,016","4,713,531"
Depreciation of property and equipment,"5,154,103","5,012,890"
Impairment loss on WIP,"45,761","205,561"
Wheeling charges – Ketraco*,"2,668,667","2,668,667"
Loss on disposal of fixed assets,"716,408","777,169"
Consumable goods,"326,352","216,807"
Staff welfare,"171,051","204,598"
Transport and travelling,"(98,770)","(181,753)"
Office expenses,534,118
Other costs,"1,099,113","813,451"
"Net recharge of distribution and transmission
costs to RES","(4,469,919)","(4,193,657)"
,"10,441,316","10,237,382"
