Column,"Salary/
honoraria
Shs’000","Fees
Shs’000","Expense
allowances
Shs’000","Total
Shs’000"
Year ended 30 June 2021,,,,
Executive Director,,,,
Bernard Ngugi- MD&CEO,"9,120",-,"2,210","11,330"
Non-Executive Directors,,,,
Ms Vivienne Yeda - Chairman,608,600,"1,668","2,876"
Mahboub Mohamed – Former Chairman,320,200,726,"1,246"
"PS, National Treasury",-,600,-,600
"PS, Energy - Joseph Njoroge",-,600,110,710
Abulrazaq Ali,-,600,"1,488","2,088"
Kairo Thuo,-,400,500,900
Elizabeth Rogo,-,600,"2,345","2,945"
Caroline Kittony,-,600,"1,812","2,412"
Sachen Gudka,-,600,"1,826","2,426"
Beatrice Gathirwa,-,-,"1,467","1,467"
Isaac Kiva,-,-,"1,682","1,682"
Bernard Ndungu,-,-,140,140
,"10,048","4,800","15,974","30,822"
