Column,2023,2022
,,Restated
,Shs’000,Shs’000
Salaries and wages,"4,750,113","4,912,350"
Depreciation of property and equipment,"867,757","847,460"
Staff welfare,"1,447,317","1,349,986"
Depreciation- ROU asset (Note 19),"291,130","297,899"
"Amortisation of intangible assets (Notes 18, 36 (a))","559,045","867,117"
"Amortisation of operating lease prepayment (Notes 17,36 (a))","34,798","25,864"
Repairs and maintenance,"353,652","442,070"
Security and surveillance,"806,318","855,621"
Transport and travelling,"438,826","127,598"
External services,"401,841","500,266"
Office expenses,"116,893","112,873"
Other financial expenses*,"166,744","150,507"
Licenses,"301,093","751,450"
Legal expenses,"228,971","338,760"
Insurance,"633,536","434,482"
Public relations,"96,032","30,334"
Company electricity expenses,"162,682","154,654"
Training expenses and consumer services,"157,144","95,943"
Other consumable goods,"234,426","186,263"
Movement in leave obligation (Note 33 (a)),"(33,270)","91,493"
Movement in gratuity provision ((Note 33 (c)),"301,547","268,179"
Movement in leave allowance provision ((Note 33 (b)),"(8,375)","(8,961)"
Consultancy fees,"99,746","54,011"
Directors’ emoluments,"33,391","28,165"
Auditor’s remuneration,"27,596","23,791"
Other Directors’ expenses,"4,169","8,580"
Allowance for inventories (Note 20),"(446,966)","(400,249)"
Expense relating to leases of low-value assets (Note 19),"14,370","20,000"
Other costs**,"737,944","472,758"
Retirement benefit plan debits (Note 32),"(66,514)","55,221"
,"12,711,956","13,094,485"
Recharge of administration costs to RES***,"(1,442,445)","(1,152,376)"
,"11,269,511","11,942,109"
