Column,2023,2022
,Shs’000,Shs’000
Electricity receivables (Note 21(b)),"35,698,986","27,301,840"
"Receivable from Government of Kenya-RES recurrent
losses******* (Note 37 (b) (ii))","26,928,111","19,355,163"
RES – InterCompany (Note 37 (b) (ii)),"6,117,783","4,644,000"
Prepayments- Loan origination fees,"189,642","228,476"
Receivable from GOK-15% tariff reduction support,"595,833",
"Receivable from Government of Kenya***** (Note 37 (b) (ii)
and Note 38)","271,549","296,549"
Last mile prepaid debtors,"1,857,208","1,958,070"
Sundry debtors & prepayments,"951,547","190,716"
Conversion to prepaid debt,"382,008","365,216"
Non-commercial debt,"1,217,769","855,913"
Prepaid fixed charge debt,"2,523,558","2,586,159"
VAT recoverable (Note 37 (b) (ii)),"1,439,511","1,830,267"
Project funds****,"26,292",
Due from KETRACO**,"1,715,063","1,677,814"
Staff receivables,"684,529","583,553"
Stima loan deferred payment customers *,"233,133","228,821"
Rural Electrification Authority current account (Note 37 (b) (ii)),"248,564","248,564"
GPOBA prepaid debtors***,"743,646","771,419"
Other ******,"1,350,934","1,235,539"
Gross trade and other receivables,"83,175,666","64,358,079"
Provision for credit losses,,
Electricity receivables,"(17,286,233)","(14,995,708)"
Prepaid fixed charge,"(2,523,558)","(2,586,159)"
Last mile debtors,"(1,441,679)","(1,564,026)"
Receivable from GOK-RES Recurrent,"(412,054)","(412,054)"
Staff debtors,"(324,865)","(280,433)"
Other receivables,"(3,282,366)","(3,110,622)"
,"(25,270,755)","(22,949,002)"
Impairment of RES receivable********,"(1,167,539)","(972,502)"
Net trade and other receivables,"56,737,372","40,436,575"
