"Generation
Technology","Capacity (MW) as at
30.06.2019",Column,Energy Purchased GWh,Column,Column,Column,Column
,Installed,"Effective1 /
Contracted",2014/15,2015/16,2016/17,2017/18,2018/19
"OW905, OW914
,OW915 and OW
919 Olkaria Mobile
Wellheads3",47.8,47.8,109,266,309,325,297
Olkaria IV,149.8,140.0,1064,976,852,"1,132","1,095"
Olkaria I 4 & 5,150.5,140.0,744,1055,968,"1,133","1,069"
Geothermal Total,534,508,"3,104","3,542","3,279","3,868","3,747"
Wind,,,,,,,
Ngong,25.5,25.5,37.7,56.7,63.2,47.5,67.4
KenGen Total,"1,639","1,561","6,943","7,725","7,513","7,989","8,276"
"Government of
Kenya (Rural
Electrification
Programme)",,,,,,,
Thermal,31.4,21.3,35.1,39.9,40.8,46.9,57.6
Wind,0.55,0.01,0.00,0.00,0.00,0.00,0.00
Solar,0.69,0.62,0.90,0.79,0.54,0.12,0.06
Total Offgrid,33,22,36,41,41,47,58
"Independent Power
Producers (IPP)",,,,,,,
Iberafrica I&II,108.8,102.5,198,128,252,186,74
"Mumias -
Cogeneration",26.0,21.5,14,0,0,4,0.0
"OrPower 4
-Geothermal I,II&III",121.0,121.0,955,937,925,942,"1,038"
"OrPower 4
-Geothermal (the
4th plant)",29.0,29.0,,129,247,244,247
Tsavo,74.0,74.0,83,39,121,196,131
Rabai Power,90.0,88.6,609,536,606,562,120
"Imenti Tea Factory
(Feed-in Plant)",0.283,0.283,0.5,0.7,0.3,0.6,0.3
Thika Power,87.0,87.0,233,70,168,215,107
Gikira small hydro,0.514,0.514,1.6,1.9,0.9,1.4,1.1
