Column,2023,2022
,Shs’000,Shs’000
KenGen,"645,557","377,475"
Lake Turkana Wind Power,"1,263,830","(108,359)"
OrPower 4 Inc.,"977,105","374,450"
Kipeto Energy Plc,"436,262","88,874"
Uganda Electricity Transmission Company Limited,"179,193","65,639"
Rabai Power Limited,"495,679","62,624"
Triumph Power Generating Company Limited,"138,210","49,728"
Thika Power Limited,"323,896","21,781"
Gulf Power Limited,"241,024","(1,052)"
Iberafrica Power (E.A.) Company Limited,"253,267","65,284"
Cedate,"120,193","42,044"
Selenkei Solar Farm,"124,144","51,960"
Malindi,"86,637","14,557"
Garissa Solar Power Plant,"56,265","46,140"
Tsavo Power Company Limited,"15,999","24,085"
Gura,"1,729","1,664"
Regen-Terem,"2,986","1,449"
Metumi Power Plant,"72,733","16,929"
Ethiopia Electric Utility,"163,024","2,417"
Hydro Project Services Peters,798,991
Power Technology Solutions Limited,274,101
Chania Power Limited,"8,118","2,919"
Biojoule Kenya Limited,39,42
Alten Kenya Solarfarm,"81,511",-
Imenti Tea Factory,33,11
Tanzania Electric Supply Company Limited,50,22
Strathmore University,74,11
,"5,688,630","1,201,785"
Less:,,
Recharged to RES,"(370,555)","(78,284)"
,"5,318,075","1,123,501"
