Company,"Capacity (MW) as at
30.06.2023",Column,Energy Purchased GWh,Column,Column,Column,Column
,Installed,"Effective1 /
Contracted2",2018/19,2019/20,2020/21,2021/22,2022/23
SUMMARY OF KEY STATISTICS,,,,,,,
SALES - KPLC System (GWh),,,"8,147","8,154","8,553","9,147","9,539"
REP System (GWh),,,595,602,632,650,667
Export to Uganda (GWh),,,27,18,17,16,27
Export to Tanesco (GWh),,,0.01,0.00,0.00,0.00,0.00
TOTAL SALES (GWh),,,"8,769","8,773","9,203","9,813","10,233"
System Losses (GWh)4,,,"2,724","2,689","2,898","2,839","3,057"
System Peak Demand (MW)5,,,"1,882","1,926","1,994","2,057","2,149"
System Load Factor,,,69.7%,67.9%,69.3%,70.2%,70.6%
Sales % of Energy Purchased,,,76.3%,76.5%,76.1%,77.6%,77.0%
Losses as % of Energy Purchased,,,23.7%,23.46%,23.95%,22.44%,23.00%
Annual Growth: - Energy Purchased,,,7.42%,-0.26%,5.57%,4.56%,5.04%
Total Sales,,,3.67%,0.05%,4.90%,6.63%,4.28%
-KPLC Sales,,,3.38%,0.08%,4.90%,6.94%,4.28%
-REP Sales,,,7.37%,1.12%,5.02%,2.89%,2.58%
-System Peak Demand,,,4.45%,2.33%,3.51%,3.18%,4.49%
