Deferred income tax liabilities,Column,Column,Column,Column,Column
Property and equipment,"54,922,605","41,085","3,693,051",-,"58,656,741"
Unrealised foreign exchange loss,"(7,789,492)",-,"918,289",-,"(6,871,203)"
Right of use asset,"199,141",-,"(2,276)",-,"196,865"
Retirement benefit asset,"220,264","51,989","65,397","(484,322)","(146,672)"
,"47,552,518","93,074","4,674,461","(484,322)","51,835,731"
Deferred income tax assets,,,,,
Lease liabilities,"(192,445)",-,"9,491",-,"(182,954)"
Provisions,"(9,836,336)",-,"1,236,244","10,964","(8,589,128)"
Tax losses,-,--,-,-,-
Prior year adjustments,-,--,-,-,-
,"(10,028,781)","93,074","1,245,735","10,964","(8,772,082)"
Net deferred income tax liabilities,"37,523,737","93,074","5,920,196","(473,358)","43,063,649"
