Column,"Ordinary
share capital
(Note 23)","Share
premium
(Note 24)","Retained
earnings
(Note 25)",Total
,Shs’000,Shs’000,Shs’000,Shs’000
At 30 June 2021 - as previously reported,"4,878,667","22,021,219","30,274,055","57,173,941"
Restatement (note 42(g),-,-,"(304,496)","(304,496)"
At 30 June 2021 - restated,"4,878,667","22,021,219","29,969,559","56,869,445"
Year ended 30 June 2022,,,,
Balance at 1 July 2021-restated,"4,878,667","22,021,219","29,969,559","56,869,445"
Profit for the year,-,-,"3,262,859","3,262,859"
Other comprehensive income,-,-,"(498,836)","(498,836)"
Total comprehensive income for the year,-,-,"2,764,023","2,764,023"
At 30 June 2022-restated,"4,878,667","22,021,219","32,733,582","59,633,468"
Year ended 30 June 2023,,,,
Balance at 1 July 2022,"4,878,667","22,021,219","32,733,582","59,633,468"
Profit for the year,-,-,"(3,193,179)","(3,193,179)"
Other comprehensive income,-,-,"402,552","402,552"
Total comprehensive income for the year,-,-,"(2,790,627)","(2,790,627)"
At 30 June 2023,"4,878,667","22,021,219","29,942,955","56,842,841"
