Column,Notes,"Gross carrying
amount","Loss
allowance","Net
amount"
,,Shs’000,Shs’000,Shs’000
30 June 2023,,,,
Electricity receivables,21(a),"35,698,986","(17,286,233)","18,412,753"
Prepaid fixed charge receivable,21(a),"2,523,558","(2,523,558)",-
Other receivables,,"35,438,380","(5,460,964)","29,977,416"
Short-term deposits,22(a),"508,141","(7,091)","501,050"
Bank balances,22(b),"17,922,476","(192,336)","17,730,140"
,,"92,091,541","(25,470,182)","66,621,359"
30 June 2022,,,,
Electricity receivables,21(a),"27,301,840","(14,995,708)","12,306,132"
Prepaid fixed charge receivable,21(a),"2,586,159","(2,586,159)",-
Other receivables,,"27,876,809","(5,367,135)","22,509,674"
Short-term deposits,22(a),"487,394","(12,579)","474,815"
Bank balances,22(b),"7,592,758","(132,869)","7,459,889"
,,"65,844,960","(23,094,450)","42,750,510"
