Column,2023,2022
,,Restated
,Shs’000,Shs’000
(Loss)/Profit before taxation,"(4,433,856)","4,783,601"
Depreciation of property and equipment (Note 16),"15,506,349","16,448,233"
Impairment loss on Work in Progress (WIP) (Note 16),"26,536","45,761"
Reversal of impairment loss on WIP,"(3,866)",-
Amortisation of intangible assets (Note 18),"559,045","867,117"
Amortisation of leasehold land (Note 17),"34,798","25,864"
Depreciation of ROU (Right-of-use) asset (Note 19),"291,130","293,246"
Amortisation of capital contribution (Note 7 (c)),"(3,576,513)","(3,807,714)"
Loss on disposal of property and equipment (Note 36 (e)),"931,499","716,217"
Loss on disposal of ROU (Note 36 (e)),"1,129",191
Finance income (Note 11 (a)),"(506,640)","(396,940)"
Finance costs (Note 11 (b)),"24,101,516","12,738,955"
Interest expense on lease liabilities (Note 11 (b)),"102,983","125,143"
"Movement in provision for leave pay, gratuity and leave allowance
(Note 33)","259,902","350,711"
"Movement in provisions for credit losses on short-term deposits (Note
22 (a))","(5,488)","5,855"
"Movement in provisions for credit losses on bank balances ((Note 22
(b))","59,467","93,181"
Movement in provisions for Company guaranteed loans ((Note 28 (b)),"(4,645)","4,565"
"Movement in provisions for credit losses on trade and other
receivables","2,321,753","(935,518)"
Movement in provision for slow moving inventories (Note 20),"(446,966)","(400,249)"
Retirement benefit plan credits (Note 9 (c)),"(66,514)","55,221"
Unrealised foreign exchange losses on cash and cash equivalents,"(50,577)","(102,719)"
Working capital changes:,,
Inventories,"690,213","(20,227)"
Trade and other receivables,"(18,593,781)","(2,006,643)"
Deferred income,"5,754,330","4,290,025"
Trade and other payables,"14,592,707","(177,195)"
Cash generated from operations,"37,544,511","32,996,681"
