Column,"2022
Shs’000","2021
Shs’000"
KenGen*,"38,739,502","41,142,194"
Lake Turkana Wind Power,"17,231,081","17,337,239"
OrPower 4 Inc.,"11,740,550","11,895,495"
Kipeto Energy Plc,"5,793,260","1,137,969"
"Uganda Electricity Transmission Company
Limited","3,792,858","2,095,162"
Rabai Power Limited,"3,151,387","2,948,796"
Triumph Power Generating Company Limited,"3,005,440","2,621,272"
Thika Power Limited,"2,518,155","2,394,759"
Gulf Power Limited,"2,281,186","2,207,283"
Iberafrica Power (E.A.) Company Limited,"1,923,130","1,765,089"
Cedate,"1,300,574",-
Selenkei Solar Farm,"1,275,094","14,473"
Malindi,"713,995",-
Garissa Solar Power Plant,"513,447","515,181"
