Column,2023,2022
,Shs’000,Shs’000
Salaries and wages,,
Salaries and allowances of permanent employees,"15,059,442","15,183,628"
Wages of temporary employees,"1,019,414","1,216,310"
Recharge of capital works supervision to capital jobs*,"(1,090,762)","(1,190,602)"
NSSF employer contributions,"65,312","23,900"
Pension costs – defined contribution,"799,500","807,800"
Salaries and wages,"15,852,906","16,041,036"
Pension credit - defined benefit scheme (Note 32),"(66,514)","55,221"
,"15,786,392","16,096,257"
Movement in leave pay provision (Note 33 (a)),"(33,270)","91,493"
"Movement in gratuity and leave allowance provisions (Note 33
(b) and Note 33 (c))","293,172","259,218"
,"16,046,294","16,446,968"
