2022,"Nairobi
Region","West Kenya
Region","Coast
Region","Mount Kenya
Region",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Revenue,"72,606,230","30,316,716","27,952,103","26,478,205","157,353,254"
Energy purchases,"(64,540,666)","(21,122,400)","(21,122,400)","(10,561,201)","(117,346,667)"
Operating expenses,"(13,221,211)","(11,094,542)","(4,509,665)","(7,330,091)","(36,155,509)"
Other income,"6,441,794","2,798,108","2,261,733","1,794,207","13,295,842"
Operating profit,"1,286,147","897,882","4,581,771","10,381,120","17,146,920"
Interest income,,,,,"396,940"
Finance costs,,,,,"(12,760,259)"
Income tax credit,,,,,"(1,520,742)"
Profit for the year,,,,,"3,262,859"
Assets,"101,909,111","121,758,465","42,677,454","64,124,155","330,469,185"
Liabilities,"130,951,185","59,556,543","46,727,691","33,600,298","270,835,717"
"Capital expenditure
(including intangible
assets)","6,716,210","2,366,363","2,080,931","1,111,823","12,275,327"
Depreciation/amortisation,"7,520,417","5,021,912","2,296,399","2,803,260","17,641,988"
