Column,2023,2022
,GWh,GWh
KenGen,"8,027","7,911"
Lake Turkana Wind Power,"1,678","1,573"
OrPower 4 Inc,940,976
Rabai Power Limited,446,502
Kipeto Energy Plc,466,426
Ethiopia Electric Utility,370,5
Uganda Electricity Transmission Company Limited,275,332
Thika Power Limited,194,211
Cedate,94,88
Selenkei Solar Farm,86,88
Iberafrica Power (E.A.) Company Limited,116,86
Garissa Solar Power Plant,86,82
Gulf Power Limited,170,81
Off grid power stations,75,71
Triumph Power Generating Company Limited,35,69
Malindi,99,54
Tsavo Power Company Limited,-,48
Gura,11,20
Regen-Terem,20,15
Metumi Power Plant,14,10
Alten Kenya Solarfarm,79,-
Sosian Menengai Geothermal,6,-
Kianthumbi Small Hydro,1,-
Hydro Project Services Peters,-,2
Power Technology Solutions Limited,1,1
Others,1,1
Imenti Tea Factory,-,1
Chania Power Limited,-,-
,"13,290","12,653"
Less:,,
Recharged to RES,(865),(838)
,"12,425","11,815"
