Board Member,Board Position,14 Meetings
Amb. (Eng.) Mahboub Mohamed,Chairman,14/14
Mr. Henry Rotich,"Cabinet Secretary, The National Treasury",-
Dr. Eng. Joseph Njoroge,"Principal Secretary, Ministry of Energy",1/1
Mr. Bernard Ngugi,Managing Director & CEO (Joined in Oct. 2019),9/9
Mr. Wilson Mugung’ei,Member,13/14
Mr. Adil Khawaja,Member,11/14
Mr. Kairo Thuo,Member,13/14
Mrs. Brenda Eng’omo,Member,13/14
Hon. Zipporah Kering,Member,14/14
Eng. Isaac Kiva,"Alternate PS, Ministry of Energy",14/14
Mrs. Beatrice Gathirwa,"Alternate to CS, The National Treasury",12/14
Eng. Jared Othieno,Ag. MD & CEO (Left in Oct.2019),5/5
