REGION,2014/15,2015/16,2016/17,2017/18,2018/19
Nairobi North,"1,032","1,187","1,301","1,204","1,219"
Nairobi South,"1,667","1,696","1,759","1,728","1,719"
Nairobi West,"1,059",808,853,898,958
Coast,"1,312","1,338","1,389","1,435","1,477"
Central Rift,456,569,596,650,689
North Rift,269,280,269,303,288
South Nyanza,0,48,86,88,104
West Kenya,525,320,313,361,376
Mt Kenya,309,413,431,437,456
North Eastern,461,671,704,776,862
KPLC Sales,"7,090","7,330","7,701","7,881","8,147"
R.E.P. Schemes,525,537,549,554,595
Export Sales,40,45,22,23,27
TOTAL,"7,655","7,912","8,272","8,459","8,769"
%INCREASE P.A.,5.7%,3.4%,4.5%,2.3%,3.7%
