Column,2023,2022,2021
,,Restated,Restated
,Shs’000,Shs’000,Shs’000
KenGen (Note 37 (e)),"22,560,531","23,082,571","24,909,391"
Other suppliers’ accounts,"5,445,331","6,643,675","6,148,280"
Other electricity suppliers,"44,567,645","23,242,929","23,513,471"
Other payables,"10,541,872","9,254,855","13,658,744"
RES current account - Last Mile Project (Note 37 (b) (iii)),"2,079,239","1,512,059","2,491,066"
Last mile token contribution for RES,"1,382,138","1,966,864",-
Deferred KPLC last mile,"1,798,287","1,958,217",-
Retention money,"895,256","1,309,814",-
Rural Electrification Authority Levy** ((Note 37 (b) (iii))),"10,963,339","12,164,824","12,097,905"
Project funds,-,"222,180","334,920"
Ketraco wheeling charge (Note 37 (f)),"2,586,194","4,567,868","5,546,379"
Ministry of Finance (Note 37 (b) (iii)),"875,041","875,041","875,041"
Prepaid revenue****,"429,681","265,944","263,132"
Street lighting project (Note 37 (b) (iii) and Note 38),"641,878","923,548","1,826,504"
Energy Regulatory Levy,"221,300","144,193","152,743"
Deferred creditor (Fibre optic),"70,721","70,721","70,721"
,"105,058,453","88,205,303","91,888,297"
Provision for impairment (Note 28 (c)),"6,469","11,114","6,549"
,"105,064,922","88,216,417","91,894,846"
