Column,2023,2022
,,Restated
,Shs’000,Shs’000
KenGen,"8,168,302","9,654,447"
Rabai Power Limited,"7,958,324","7,516,809"
Thika Power Limited,"3,320,158","3,302,122"
Iberafrica Power (E.A.) Company Limited,"2,044,120","1,397,715"
Tsavo Power Company Limited,-,"598,773"
Off grid power stations,"4,313,218","3,506,582"
Gulf Power Limited,"3,455,132","1,311,722"
Triumph Power Generating Company Limited,"810,816","1,084,781"
,"30,070,070","28,372,951"
Less:,,
Recharged to RES,"(1,976,558)","(1,878,842)"
,"28,093,512","26,494,109"
