Column,Column,2023,2022
,,Shs’000,Shs’000
At start of year,,"14,824,857","14,342,533"
Additional contributions,,"5,754,330","4,290,038"
Recognised as income (Note 7(c)),,"(3,576,513)","(3,807,714)"
At end of year,,"17,002,674","14,824,857"
Maturity analysis:,,,
Non-current,,"12,775,248","11,131,733"
Current,,"4,227,426","3,693,124"
At end of year,,"17,002,674","14,824,857"
2277.. DDEEFFEERRRREEDD IINNCCOOMMEE TTAAXX,,,
,2023,2022,2021
,,Restated,Restated
,Shs’000,Shs’000,Shs’000
At start of year,"28,579,124","27,415,359","20,590,805"
Debit/(Credit) to other comprehensive income,"172,523","(213,786)","337,481"
Adjustment in respect of deferred tax in prior year,,-,"9,055"
Effect of tax rate changes,,-,"4,326,050"
Prior year adjustment,"(14,315)",-,-
(Credit)/Charge to profit or loss (Note 13 (a)),"(1,519,854)","1,377,551","2,151,968"
At end of year,"27,217,478","28,579,124","27,415,359"
