VOLTAGE,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
400 kV,,,96.8,1244.4,2116.4,2116.4
220 kV,"1,352","1,452","1,555","1,686","1,686","1,686"
132 kV,"2,824","3,087","3,208","3,322","3,372","3,372"
66 kV,952,977,"1,000","1,168","1,187","1,187"
33 kV,"21,370","27,497","30,846","34,508","35,177","35,703"
11 kV,"32,823","35,383","37,234","38,968","39,797","40,616"
Total HV and MV,"59,322","68,396","73,940","80,897","83,335","84,681"
415/240V or 433/250V,,"110,778","139,642","143,331","152,799","158,527"
TOTAL,"59,322","179,174","213,582","224,228","236,134","243,207"
% INCREASE P.A.,4.8%,15.3%,19.2%,5%,5%,3%
