2023,"Nairobi
Region","West Kenya
Region","Coast
Region","Mount Kenya
Region",Total
,Shs’000,Shs’000,Shs’000,Shs’000,Shs’000
Revenue,"87,272,894","36,994,831","34,583,651","32,123,578","190,974,954"
Energy purchases,"(78,996,275)","(25,831,702)","(25,831,702)","(12,915,851)","(143,575,530)"
Operating expenses,"(13,452,182)","(11,988,377)","(4,564,436)","(7,276,822)","(37,281,817)"
Other income,"4,252,138","2,062,711","1,418,496","1,362,474","9,095,819"
Operating profit,"(923,425)","1,237,463","5,606,009","13,293,379","19,213,426"
Finance income,,,,,"506,640"
Finance costs,,,,,"(24,153,922)"
Income tax expense,,,,,"1,240,677"
Loss for the year,,,,,"(3,193,179)"
Assets,"117,250,433","129,687,522","43,895,302","62,892,015","353,725,272"
Liabilities,"142,034,939","66,742,879","50,675,660","37,428,953","296,882,431"
"Capital expenditure (including
intangible assets)","7,564,271","2,643,910","2,358,478","1,250,597","13,817,256"
Depreciation/amortisation,"6,849,401","4,852,742","1,983,976","2,705,203","16,391,322"
