Column,"2022
Shs’000","2021
Shs’000"
KenGen (Note 37 (e)),"22,934,576","24,700,501"
Other suppliers’ accounts,"6,171,573","6,105,543"
Other electricity suppliers,"22,942,508","23,192,857"
Other payables,"14,489,749","13,658,743"
RES current account - Last Mile Project (Note 37 (b) (iii)),"1,512,059","2,491,066"
Rural Electrification Authority Levy** ((Note 37 (b) (iii))),"12,164,824","12,097,905"
Project funds***,"222,180","334,920"
Ketraco wheeling charge (Note 37 (f)),"4,567,868","5,546,379"
Ministry of Finance (Note 37 (b) (iii)),"875,041","875,041"
Prepaid revenue****,"265,944","263,132"
Street lighting project (Note 37 (b) (iii) and Note 38),"923,548","1,826,504"
Energy Regulatory Levy,"144,193","152,743"
Aggreko,"212,685","199,430"
Deferred creditor (Fibre optic),"70,721","70,721"
,"87,497,469","91,515,485"
Provision for impairment (Note 28 (c)),"11,114","6,549"
,"87,508,583","91,522,034"
