"Generation
Technology","Capacity (MW) as at
30.06.2019",Column,Energy Purchased GWh,Column,Column,Column,Column
,Installed,"Effective1 /
Contracted",2014/15,2015/16,2016/17,2017/18,2018/19
Gulf Power,80.32,80.32,60,8,61,80,37
Triumph Diesel,83.0,83.0,4.8,81.8,83,28,16
"Biojule Kenya
Limited",2.0,2.0,0,0,0.7,0.4,0.3
Regen-Terem,5.00,5.00,0,0,1,18,20
Gura,2.00,2.00,0,0,0,17,12
Chania,0.50,0.50,0,0,0,0.8,0.3
Strathmore,0.25,0.25,0,0,0,0.02,0.15
"Lake Turkana Wind
Power",310.0,300.0,0,0,0,0,"1,124"
IPP Total,"1,020",997,"2,160","1,934","2,466","2,495","2,930"
"Emergency Power
Producers(EPP)",,,,,,,
Aggreko Power,0,0.0,63,50,0,0,0
EPP Total,0,0,63,50,0,0,0
"REA Garissa Solar
Plant",,,,,,,
REA Garissa,50,50,0,0,0,0,60
REA Garissa Total,50,50,0,0,0,0,60
Imports,,,,,,,
UETCL,,,76,65,180,168,168
TANESCO,,,0.6,0.0,0.0,0.0,0.0
EEU (MOYALE),,,2.8,2.6,3.4,3.0,1.8
Total Imports,,,79,67,184,171,170
SYSTEM TOTAL,"2,741","2,630","9,280","9,817","10,204","10,702","11,493"
"SUMMARY OF KEY
STATISTICS",,,,,,,
"SALES - KPLC
System (GWh)",,,"7,090","7,330","7,701","7,881","8,147"
"- REP System
(GWh)",,,525,537,549,554,595
"- Export to
Uganda (GWh)",,,38,43,20,22,27
"- Export to
Tanesco (GWh)",,,2,2,2,2,0.01
