Column,"2022
Shs’000","2021
Shs’000"
Profit before taxation,"5,123,553","8,197,656"
Depreciation of property and equipment (Note 16),"16,448,233","16,709,779"
Impairment loss on Work in Progress (WIP) (Note 16),"45,761","205,561"
Amortisation of intangible assets (Note 18),"867,117","1,151,128"
Amortisation of leasehold land (Note 17),"25,864","25,728"
Depreciation of ROU (Right-of-use) asset (Note 19),"293,246","331,808"
Amortisation of capital contribution (Note 7 (c)),"(3,807,714)","(4,769,069)"
Loss on disposal of property and equipment (Note 36 (e)),"716,217","773,805"
Loss on disposal of ROU (Note 36 (e)),191,"3,364"
Finance income (Note 11 (a)),"(396,940)","(162,862)"
Finance costs (Note 11 (b)),"12,665,772","8,907,256"
Interest expense on lease liabilities (Note 11 (b)),"125,143","145,469"
"Movement in provision for leave pay, gratuity and leave
allowance (Note 33)","350,711","108,157"
"Movement in provisions for credit losses on short-term deposits
(Note 22 (a))","5,855",205
"Movement in provisions for credit losses on bank balances
((Note 22 (b))","93,181","22,017"
"Movement in provisions for company guaranteed loans ((Note
28 (b))","4,565",-
"Movement in provisions for credit losses on trade and other
receivables","(935,518)","331,968"
Movement in provision for slow moving inventories (Note 20),"(400,249)","(188,853)"
Retirement benefit plan credits (Note 9 (c)),"55,221","107,705"
"Unrealised foreign exchange losses on cash and cash
equivalents","(102,719)","(2,602)"
Working capital changes:,,
Inventories,"(20,227)","(875,542)"
Trade and other receivables,"(1,939,868)","(3,074,324)"
Deferred income,"4,290,025","3,169,772"
Trade and other payables,"(512,217)","7,848,993"
Cash generated from operations,"32,995,203","38,967,119"
