Column,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20
Generation Substations,,,,,,
33/220,88,88,88,88,388,388
15/220KV,95,95,95,95,95,95
11/220kV,"1,054","1,054","1,054","1,054","1,054","1,212"
33/132,45,45,45,45,95,95
15/132,175,175,175,175,175,175
11/132kV,"1,035","1,035","1,095","1,095","1,095","1,095"
11/66kV,291,411,411,576,576,576
11/33kV,238,238,238,238,238,238
3.3/33kV,4,4,4,4,4,4
TOTAL,"3,025","3,145","3,205","3,370","3,720","3,878"
Transmission Substations,,,,,,
132/220 and 220/132kV,"1,266","1,266","1,266","1,350","1,350","1,350"
220/66kV,450,720,720,"1,111","1,165","1,165"
220/33 kV,69,69,69,69,69,69
132/66kV,420,420,600,600,600,600
132/33kV,939,"1,229","1,721","1,721","1,743","1,743"
132/11kV,-,-,-,15,15,15
TOTAL,"3,144","3,704","4,376","4,866","4,942","4,942"
Distribution Substations,,,,,,
66/11kV,"2,139","2,345","2,465","2,670","2,775","2,817"
66/33kV,138,138,138,161,161,161
33/11kV,"1,295","1,365","1,453","1,541","1,544","1,585"
TOTAL,"3,572","3,848","4,056","4,372","4,480","4,563"
Distribution Transformers,,,,,,
11/0.415kV and,,,,,,
33/0.415kV,"6,384","7,088","7,276","7,606","7,844","8,174"
