Column,Notes,"2022
Shs’000","2021
Shs’000"
Revenue from contracts with customers,7(a),"157,353,254","144,119,605"
Cost of sales,8,"(115,208,040)","(94,220,014)"
Gross profit,,"42,145,214","49,899,591"
Net operating expenses,,,
Network management,9(a),"(10,441,316)","(10,237,382)"
Commercial services,9(b),"(5,066,810)","(5,765,298)"
Administration,9(c),"(23,350,038)","(23,503,895)"
Expected credit losses on financial assets,9(d),"831,917","(354,190)"
,,"(38,026,247)","(39,860,765)"
Operating income,,"4,118,967","10,038,826"
Other income,7(c),"13,295,842","7,046,092"
Operating profit,,"17,414,809","17,084,918"
Finance income,11(a),"396,940","162,862"
Finance costs,11(b),"(12,688,196)","(9,050,124)"
Profit before income tax,,"5,123,553","8,197,656"
Income tax expense,13(a),"(1,619,264)","(6,707,968)"
Profit for the year,,"3,504,289","1,489,688"
Other comprehensive income:,,,
"Items that will not be subsequently reclassified to profit
or loss",,,
Remeasurement of the retirement benefit asset,32,"(723,261)","870,510"
Remeasurement of the gratuity arrangement,33(c),"10,639","254,425"
"Deferred income tax relating to remeasurement of the
retirement benefit asset and gratuity arrangement",27,"213,786","(337,481)"
"Other comprehensive income, net of taxes",,"(498,836)","787,454"
Total comprehensive income for the year,,"3,005,453","2,277,142"
Basic and diluted earnings per share (Shs),14,1.80,0.76
