"Generation
Technology","Capacity (MW) as at
30.06.2019",Column,Energy Purchased GWh,Column,Column,Column,Column
,Installed,"Effective1 /
Contracted",2014/15,2015/16,2016/17,2017/18,2018/19
KenGen,,,,,,,
Hydro:,,,,,,,
Gitaru,225.0,216.0,710,862,775,724,869
Kamburu,94.2,90.0,358,434,384,321,399
Kiambere,168.0,164.0,718,996,938,751,"1,026"
Kindaruma,72.0,70.5,165,208,183,179,193
Masinga,41.20,40.0,138,127,169,107,199
Tana,25.7,20.0,108,109,71,96,96
Turkwel,106.0,105.0,551,426,402,458,545
Sondu Miriu,60.7,60.0,376,419,282,388,258
Sangóro,21.2,20.0,125,140,90,129,82
Small Hydros,11.7,11.3,60,63,44,33,42
Hydro Total,826,797,"3,308","3,784","3,339","3,186","3,707"
Thermal:,,,,,,,
Kipevu I Diesel,74,60,157,129,211,238,197
Kipevu III Diesel,120,115,299,181,512,584,490
Muhoroni GT,60,56,4,1,108,65,67
Garissa & Lamu,0,0,12,12,0,0,0
"Garissa Temporary
Plant (Aggreko)",0,0,21,19,0,0,0
Thermal Total,254,231,492,342,832,888,754
Geothermal:,,,,,,,
Olkaria I,45.0,44.0,333,331,195,247,285
Olkaria II,105.0,101.0,756,814,791,832,796
Eburru Hill,2.4,2.2,11,10,0,6,10
"OW37, OW 37
kwg 12, OW 37
kwg 13 and OW
39 Olkaria Mobile
Wellheads2",20.5,17.2,9,16,89,127,129
"OW43 Olkaria
Mobile Wellheads",12.8,12.8,78,75,74,66,66
