Column,"2022
Shs’000","2021
Shs’000"
Salaries and wages,"7,303,524","7,955,769"
Depreciation of property and equipment,"7,666,763","7,734,247"
Staff welfare,"1,406,329","1,178,309"
Depreciation- ROU asset (Note 19),"293,246","331,808"
"Amortisation of intangible assets (Notes 18, 36 (a))","867,117","1,151,128"
"Amortisation of operating lease prepayment (Notes 17,36
(a))","25,864","25,728"
Repairs and maintenance,"40,118","1,270,808"
Security and surveillance,"845,927","845,826"
Transport and travelling,"276,435","261,723"
Office expenses,"109,278","114,019"
Other financial expenses*,"2,800,672","1,186,799"
Licenses,"395,638","235,303"
Insurance,"434,482","279,807"
Public relations,"30,334","46,497"
Company electricity expenses,"154,654","181,750"
Training expenses and consumer services,"95,943","46,939"
Other consumable goods,"186,263","163,240"
Movement in leave obligation (Note 33 (a)),"91,493","(167,351)"
Movement in gratuity provision ((Note 33 (c)),"268,179","264,767"
Movement in leave allowance provision ((Note 33 (b)),"(8,961)","10,741"
Consultancy fees,"54,011","33,375"
