Column,"2022
Shs’000","2021
Shs’000"
Electricity receivables (Note 21(b)),"27,301,840","29,668,163"
"Receivable from Government of Kenya-RES recurrent
losses****** (Note 37 (b) (ii))","19,355,163","18,738,621"
RES – intercompany (Note 37 (b) (ii)),"4,644,000","1,556,780"
"Receivable from Government of Kenya**** (Note 37 (b)
(ii) and Note 38)","296,549","8,549"
VAT recoverable (Note 37 (b) (ii)),"1,830,267","851,028"
Due from KETRACO**,"1,677,814","1,593,572"
Staff receivables,"583,553","751,476"
Stima loan deferred payment customers *,"228,821","218,219"
"Rural Electrification Authority current account (Note 37
(b) (ii))","248,564","248,564"
GPOBA prepaid debtors***,"771,419","803,128"
Other *****,"7,278,711","7,840,499"
Gross trade and other receivables,"64,216,701","62,278,599"
Provision for credit losses (Note 21(c)),"(22,949,002)","(23,884,517)"
Impairment of RES receivable*******,"(972,502)","(939,795)"
Net trade and other receivables,"40,295,197","37,454,287"
Movement in impairment of RES receivable is as follows;,,
At start of year,"939,795","826,545"
Increase during year (Note 11 (b)),"32,707","113,250"
At end of year,"972,502","939,795"
