Column,2022,2021
,Restated,Restated
,Shs’000,Shs’000
As previously reported,"87,508,583","91,522,034"
Restatements:,,
"To recognise amounts payable to Metumi Power Plant for energy
supplied during pre-commissioning",,"320,614"
To recognise amounts payable in the correct financial year,"429,365","42,737"
"To recognise amounts payable in respect of late payment interest in
the correct financial year","73,184","9,460"
To adjust the cost of sales credit notes received after year end,"(167,526)",-
To adjust opening balance with 2021 restatements,"372,811",-
Balance at end of year,"88,216,417","91,894,846"
