Column,"2022
GWh","2021
GWh"
KenGen,"7,911","8,443"
Lake Turkana Wind Power,"1,573","1,559"
OrPower 4 Inc,976,981
Rabai Power Limited,502,266
Kipeto Energy Plc,426,88
Uganda Electricity Transmission Company Limited,332,192
Thika Power Limited,211,93
Cedate,88,-
Selenkei Solar Farm,88,1
Iberafrica Power (E.A.) Company Limited,86,45
Garissa Solar Power Plant,82,86
Gulf Power Limited,81,21
Off grid power stations,71,65
Triumph Power Generating Company Limited,69,22
Malindi,54,-
Tsavo Power Company Limited,48,183
Gura,20,11
Regen-Terem,15,22
Metumi Power Plant,10,14
Ethiopia Electric Utility,5,5
Hydro Project Services Peters,2,-
Power Technology Solutions Limited,1,2
Others,1,1
Imenti Tea Factory,1,-
Chania Power Limited,-,1
,"12,653","12,101"
Less:,,
Recharged to RES,(838),(826)
,"11,815","11,275"
