Column,2022,2021
,Restated,Restated
,Shs’000,Shs’000
As previously reported,"23,350,038","23,503,895"
Restatements:,,
To recognise administration expenses in the correct financial year,"429,365","42,737"
"To reclassify infrastructure costs previously included in administration
costs to network expenses","(9,551,233)",-
"To recognise administration expenses previously included in
commercial services costs","282,645",-
"To reclassify unrealised foreign exchange differences on power
purchase previously included in administration costs to cost of sales
(Note 8 (c ))","(1,201,785)",-
"To adjust for reclassification of realised foreign exchange differences on
power purchase previously included administration expenses to cost of
sales (Note 8 (a) & (b))","(1,448,380)",-
"To adjust the resulting RES recharge on unrealised foreign exchange
differences reclassified to cost of sales","78,284",-
To adjust the depreciation on right of use asset,-,"25,855"
To adjust the depreciation on right of use asset,"3,175",
As restated,"11,942,109","23,572,487"
