"Number of Staff in Each
Region",AS AT 30th JUNE 2019,Column,Column,Column,Column
,2014/15,2015/16,2016/17,2017/18,2018/19
Central Office,"1,863","2,049","2,093","1,779","1,855"
Nairobi North,930,851,838,852,705
Nairobi West,"1,075",922,913,918,880
Nairobi South,951,845,853,837,849
Coast,"1,067","1,139","1,144","1,156","1,112"
West Kenya,"1,103",949,960,945,946
South Nyanza,,364,418,421,465
Central Rift,"1,079","1,051","1,079","1,157","1,154"
North Rift,801,790,803,819,816
Mt Kenya,"1,120","1,216","1,227","1,136","1,148"
North Eastern,856,957,967,973,984
Total Number of Staff,"10,845","11,133","11,295","10,993","10,914"
% INCREASE P.A.,2.4%,2.7%,1.5%,-2.7%,-0.7%
Gender:,,,,,
Male,"8,691","8,913","8,996","8,712","8,563"
Female,"2,154","2,220","2,299","2,281","2,351"
Ratio- Male/Female,4.0,4.0,3.9,3.8,3.6
