Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q1 24 Q1 25 ∆%,,,,,
Interest Income,"17,031","15,217",(11%),"19,105","17,173",(10%)
Interest Expenses,"(9,976)","(6,381)",(36%),"(10,837)","(7,203)",(34%)
Net Interest Income,"7,056","8,836",25%,"8,268","9,970",21%
FX Income,"2,111","1,020",(52%),"2,337","1,178",(50%)
Other Non- Interest Income,"3,949","3,735",(5%),"5,372","6,184",15%
Non – Funded Income,"6,060","4,755",(22%),"7,709","7,362",(4%)
Operating Income,"13,115","13,591",4%,"15,977","17,332",8%
Operating Expenses,"(6,331)","(6,894)",9%,"(8,088)","(8,877)",10%
Operating Profit,"6,784","6,697",(1%),"7,888","8,455",7%
Impairments,"(1,221)","(1,274)",(4%),"(1,351)","(1,625)",(20%)
Profit Before Tax,"5,563","5,423",(3%),"6,537","6,831",4%
Tax,(999),(968),3%,"(1,235)","(1,348)",(9%)
Profit after Tax,4.564,"4,456",(2%),"5,302","5,483",3%
