Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3’23 Q3’22 ∆%,,,,,
Net Loans and Advances,"270,633","238,315",14%,"308,701","266,110",16%
Investments,"206,542","214,938",(4%),"230,645","232,648",-1%
Cash and Balances with Banks,"73,387","42,762",72%,"91,957","55,069",67%
Other Assets,"60,870","50,000",22%,"47,490","41,590",14%
Total Assets,"611,433","546,015",12%,"678,793","595,417",14%
Customer Deposits,"489,528","420,397",16%,"548,134","462,113",19%
Borrowings,"20,393","27,716",(26%),"15,235","28,985",-47%
Other Liabilities,"19,943","18,201",10%,"26,909","23,394",15%
Shareholders Equity,"81,568","79,701",2%,"88,514","80,925",9%
Total Liabilities & Equity,"611,433","546,015",12%,"678,793","595,417",14%
