Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,1H23 1H22 ∆%,,,1H23 1H22 ∆%,,
Net Loans and Advances,"257,973","224,828",15%,"292,380","250,499",17%
Investments,"208,169","212,562",(2%),"231,679","232,082",(0%)
Cash and Balances with Banks,"71,529","56,733",26%,"91,008","77,485",17%
Other Assets,"53,822","50,967",6%,"45,258","44,231",2%
Total Assets,"591,492","545,090",9%,"660,325","604,296",9%
Customer Deposits,"459,465","420,636",9%,"516,638","468,489",10%
Borrowings,"29,978","26,136",15%,"28,997","30,023",(3%)
Other Liabilities,"19,758","19,929",(1%),"26,374","25,532",3%
Shareholders Equity,"82,291","78,389",5%,"88,316","80,251",10%
Total Liabilities & Equity,"591,492","545,090",9%,"660,325","604,296",9%
