Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,FY 23 FY 24 ∆%,,,,,
Net Loans and Advances,"296,400","269,146",(9%),"337,018","302,078",(10%)
Investments,"214,325","189,489",(11%),"239,781","216,993",(10%)
Cash and Balances with Banks,"91,519","77,143",(16%),"110,077","96,635",(12%)
Other Assets,"59,499","52,924",(12%),"47,745","50,237",5%
Total Assets,"661,744","588,703",(11%),"734,621","665,944",(9%)
Customer Deposits,"514,608","449,488",(13%),"579,402","502,016",(13%)
Borrowings,"38,345","21,729",(43%),"33,093","23,580",(29%)
Other Liabilities,"20,974","20,925",(0%),"25,463","30,633",20%
Shareholders Equity,"87,817","96,560",10%,"96,663","109,715",14%
Total Liabilities & Equity,"661,744","588,703",(11%),"734,621","665,944",(9%)
