Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,FY 24 FY 25 ∆%,,,,,
Interest Income,"67,754","60,173",(11%),"75,688","68,130",(10%)
Interest Expenses,"(37,773)","(20,730)",(45%),"(41,173)","(24,053)",(42%)
Net Interest Income,"29,981","39,443",32%,"34,515","44,077",28%
FX Income,"5,415","4,523",(16%),"6,250","5,080",(19%)
Other Non- Interest Income,"15,823","15,469",(2%),"21,933","24,173",10%
Non – Funded Income,"21,238","19,993",(6%),"28,183","29,253",4%
Operating Income,"51,219","59,436",16%,"62,698","73,330",17%
Operating Expenses,"(25,250)","(29,107)",15%,"(32,163)","(37,515)",17%
Operating Profit,"25,969","30,329",17%,"30,534","35,815",17%
Impairments,"(5,207)","(7,333)",41%,"(5,480)","(8,016)",46%
Profit before tax,"20,762","22,996",11%,"25,054","27,799",11%
Share of Associates Profits,-,-,-,87,92,(5%)
Profit before tax,"20,762","22,996",11%,"25,141","27,890",11%
Tax,"(2,928)","(3,674)",25%,"(3,188)","(4,405)",38%
Profit after Tax,"17,833","19,322",8%,"21,866","23,394",7%
