Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3 23 Q3 24 ∆%,,,,,
Interest Income,"41,661","51,199",23%,"46,968","57,424",22%
Interest Expenses,(19703),"(29,550)",55%,"(21,011)","(32,284)",54%
Net Interest Income,"22,588","21,649",(4%),"25,957","25,141",(3%)
FX Income,"5,427","4,465",(18%),"6,045","5,099",(16%)
Other Non- Interest Income,"10,667","12,152",14%,"14,694","16,717",14%
Non – Funded Income,"16,093","16,618",3%,"20,739","21,817",5%
Operating Income,"38,682","38,267",(1%),"46,697","46,957",1%
Operating Expenses,"(17,293)","(19,280)",11%,"(22,054)","(24,488)",11%
Operating Profit,"21,388","18,987",(11%),"24,643","22,469",(9%)
Impairments,"(5,709)","(3,665)",36%,"(6,073)","(4,079)",33%
Profit Before Tax,"15,679","15,322",2%,"18,570","18,390",1%
Share of Associates Profits,-,-,-,-,21,-
Profit Before Tax,"15,679","15,322",2%,"18,570","18,411",1%
Tax,"(3,114)","(2,605)",1 6 %,"(3,924)","(3,292)",16%
Profit after Tax,"12,565","12,717",1%,"14,646","15,098",3%
