Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3 24 Q3 25 ∆%,,,,,
Interest Income,"51,199","44,814",(12%),"57,425","50,658",(12%)
Interest Expenses,"(29,550)","(15,975)",(46%),"(32,284)","(18,415)",(43%)
Net Interest Income,"21,649","28,839",33%,"25,142","32,243",28%
FX Income,"4,465","3,275",(27%),"5,099","3,711",(27%)
Other Non- Interest Income,"12,152","11,463",(6%),"16,717","17,859",7%
Non – Funded Income,"16,618","14,738",(11%),"21,817","21,570",(1%)
Operating Income,"38,267","43,576",14%,"46,958","53,812",15%
Operating Expenses,"(19,280)","(22,229)",15%,"(24,488)","(28,109)",15%
Operating Profit,"18,987","21,348",12%,"22,470","25,703",14%
Impairments,"(3,665)","(4,534)",24%,"(4,079)","(5,244)",29%
Profit before tax,"15,322","16,814",10%,"18,391","20,459",11%
Share of Associates Profits,-,-,0%,21,-,100%
Profit before tax,"15,322","16,814",10%,"18,412","20,459",11%
Tax,"(2,605)","(3,227)",24%,"(3,292)","(4,083)",24%
Profit after Tax,"12,717","13,587",7%,"15,120","16,376",8%
