Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q1 24 Q1 25 ∆%,,,,,
Net Loans and Advances,"282,693","254,883",(10%),"320,505","287,016",(10%)
Investments,"188,519","193,315",3%,"212,570","222,262",5%
Cash and Balances with Banks,"93,908","75,012",(20%),"110,322","92,780",(16%)
Other Assets,"69,019","55,546",(20%),"51,475","53,916",5%
Total Assets,"634,139","578,756",(9%),"694,872","655,974",(6%)
Customer Deposits,"499,968","442,623",(11%),"548,068","495,670",(10%)
Borrowings,"17,145","11,703",(32%),"17,809","11,883",(33%)
Other Liabilities,"30,045","29,161",(3%),"30,218","32,098",6%
Shareholders Equity,"86,981","95,269",10%,"98,777","116,323",18%
Total Liabilities & Equity,"634,139","578,756",(9%),"694,872","655,974",(6%)
