Buildings,"Furniture,
fittings &
equipment","Motor
Vehicles","Work in
progress",Total
Shs `000,Shs `000,Shs `000,Shs `000,Shs `000
"370,000","2,006,488","82,783","66,590","2,525,861"
-,"172,431",601,"75,402","248,434"
-,"69,733",-,"(69,733)",-
-,"(36,166)","(12,151)",-,"(48,317)"
-,"35,069",-,"35,559","70,628"
-,(736),"(1,589)","(6,799)","(9,124)"
"370,000","2,246,819","69,644","101,019","2,787,482"
"370,000","2,246,819","69,644","101,019","2,787,482"
-,"113,007","21,369","123,119","257,495"
-,"122,593",-,"(122,593)",-
-,"(5,542)","(11,949)",-,"(17,491)"
"370,000","2,476,877","79,064","101,545","3,027,486"
"144,617","2,476,877","79,064","101,545","2,802,103"
"225,383",-,-,-,"225,383"
"370,000","2,476,877","79,064","101,545","3,027,486"
"13,214","1,389,453","44,084",-,"1,446,751"
"13,215","251,133","12,504",-,"276,852"
-,"(20,885)","(3,645)",-,"(24,530)"
-,"8,558",-,-,"8,558"
-,"12,764","3,327",-,"16,091"
"26,429","1,641,023","56,270",-,"1,723,722"
"26,429","1,641,023","56,270",-,"1,723,722"
"13,214","253,430","11,136",-,"277,780"
-,"(5,487)","(11,355)",-,"(16,842)"
-,"4,539","(5,210)",-,(671)
"39,643","1,893,505","50,841",-,"1,983,989"
"330,357","583,372","28,223","101,545","1,043,497"
"343,571","605,796","13,374","101,019","1,063,760"
