Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3 23 Q3 24 ∆%,,,,,
Net Loans and Advances,"270,633","268,281",(1%),"308,701","303,453",(2%)
Investments,"206,542","188,510",(9%),"230,645","217,511",(6%)
Cash and Balances with Banks,"73,387","83,916",14%,"91,957","105,975",15%
Other Assets,"60,870","59,295",(3%),"47,490","51,892",9%
Total Assets,"611,433","600,001",(2%),"678,793","678,832",0%
Customer Deposits,"489,528","462,911",(5%),"548,134","515,109",(6%)
Borrowings,"20,393","25,507",25%,"15,235","29,489",94%
Other Liabilities,"19,943","21,737",9%,"26,909","34,423",28%
Shareholders Equity,"81,568","89,846",10%,"88,514","99,811",13%
Total Liabilities & Equity,"611,433","600,001",(2%),"678,793","678,832",0%
