Amounts in KES Millions,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,1Q23,1Q22,∆%,1Q23,1Q22,∆%
Assets,,,,,,
Net Loans and Advances,"254,291","218,406",16%,"287,154","243,899",18%
Investments,"212,870","203,936",4%,"234,317","223,158",5%
Cash and Balances with Banks,"47,149","63,925",(26%),"61,931","78,429",(21%)
Other Assets,"51,028","46,256",10%,"45,425","41,891",8%
Total Assets,"565,339","532,523",6%,"628,826","587,377",7%
Liabilities & Equity,,,,,,
Customer Deposits,"447,741","418,665",7%,"499,736","465,536",7%
Borrowings,"16,309","11,743",39%,"16,804","15,146",11%
Other Liabilities,"21,919","27,172",(19%),"24,379","26,390",(8%)
Shareholders Equity,"79,370","74,943",6%,"87,907","80,305",9%
Total Liabilities & Equity,"565,339","532,523",6%,"628,826","587,377",7%
