Net Loans and Advances,"238,315","215,762",10%,"266,110","238,166",12%
Government Securities,"206,839","189,583",9%,"224,075","210,702",6%
Cash and Balances with Banks,"51,544","72,873",(29%),"55,318","76,536",(28%)
Other Assets,"49,317","42,632",16%,"49,914","37,227",34%
Total Assets,"546,015","520,850",5%,"595,417","562,631",6%
Customer Deposits,"420,397","411,366",2%,"462,113","447,623",3%
Borrowings,"27,716","20,221",37%,"28,985","19,809",46%
Other Liabilities,"18,201","14,240",28%,"23,394","20,221",16%
Shareholders Equity,"79,701","75,023",6%,"80,925","74,978",8%
Total Liabilities & Equity,"546,015","520,850",5%,"595,417","562,631",6%
