Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,FY 23 FY 24 ∆%,,,,,
Interest Income,"57,863","67,754",17%,"65,224","75,687",16%
Interest Expenses,"(27,932)","(37,773)",35%,"(30,623)","(41,173)",34%
Net Interest Income,"29,931","29,981",0%,"34,602","34,514",0%
FX Income,"7,544","5,415",(28%),"8,377","6,250",(25%)
Other Non- Interest Income,"15,366","15,823",3%,"20,701","21,933",6%
Non – Funded Income,"22,910","21,238",(7%),"29,078","28,183",(3%)
Operating Income,"52,841","51,219",(3%),"63,680","62,697",(2%)
Operating Expenses,"(22,866)","(22,250)",10%,"(29,085)","(32,163)",11%
Operating Profit,"29,975","25,969",(13%),"34,595","30,533",(12%)
Impairments,"(8,275)","(5,206)",(37%),"(9,155)","(5,480)",(40%)
Profit Before Tax And Exceptional Items,"21,700","20,736",(4%),"25,440","25,053",2%
Share of Profit from Associate,-,-,,42,87,109%
Profit Before Tax,"21,700","20,736",(4%),"25,482","25,140",(1%)
