Amounts KES’M,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3 2022 Q3 2021 ∆%,,,,,
Interest Income,"34,793","31,212",11%,"38,780","34,225",13%
Interest Expenses,"(14,139)","(12,716)",11%,"(15,533)","(14,022)",11%
Net Interest Income,"20,654","18,496",12%,"23,247","20,203",15%
FX Income,"8,762","3,190",>100%,"9,208","3,503",>100%
Other Non- Interest Income,"3,707","3,603",(3%),"5,181","4,870",6%
Digital Lending Income,"6,911","6,794",2%,"8,150","7,710",6%
Operating Income,"40,034","32,083",25%,"45,786","36,286",26%
Operating Expenses,"14,762","12,243",21%,"18,540","15,509",19%
Operating Profit,"25,272","19,840",27%,"27,245","20,777",31%
Impairments,"6,622","7,355",(10%),"8,327","9,169",(9%)
Profit Before Tax And Exceptional Items,"18,650","12,485",49%,"18,918","11,608",63%
Exceptional item,(531),(547),(3%),(725),(547),33%
Profit after Exceptional items,"18,119","11,938",52%,"18,193","11,061",64%
