Name,Number of Shares,%
First Chartered Securities Limited,"246,149,354",14.94
Enke Investments Limited,"217,497,023",13.20
D&M Management Services LLP,"190,129,370",11.54
Brookshire Limited,"141,342,031",8.58
Westpoint Nominees Limited,"126,661,231",7.69
Yana Investments Limited,"89,069,204",5.41
Kahuho Holdings Limited,"67,602,884",4.10
Rivel Kenya Limited,"64,206,673",3.90
Makimwa Consultants Limited,"48,587,307",2.95
MTC Trust Corporate Services Limited – A/C NCBA Group ESOP,"21,829,633",1.32
Total,"1,213,074,710",73.63
