Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
Amounts in KES Millions,2022 2021 ∆%,,,,,
Net Loans and Advances,"249,899","220,020",14%,"278,921","244,038",14%
Investments,"211,228","204,884",3%,228.778,"218,808",5%
Cash and Balances with Banks,"49,753","76,868",(35%),"64,319","88,274",(27%)
Other Assets,"56,398","44,962",25%,"47,644","39,968",19%
Total Assets,"576,278","546,734",5%,"619,662","591,088",5%
Customer Deposits,"458,619","431,214",6%,"502,676","469,890",7%
Borrowings,"10,811","19,776",(45%),"10,121","20,872",(52%)
Other Liabilities,"18,815","17,101",10%,"24,443","22,339",9%
Shareholders Equity,"79,033","78,643",-,"82,422","77,987",6%
Total Liabilities & Equity,"576,278","546,734",5%,"619,662","591,088",5%
