"37,313,718","2,354,922","2,678,558","807,125","43,154,323"
"196,051,953","3,858,698","6,931,844","2,608,352","209,450,847"
"38,114,581","1,902,633","4,376,663","725,509","45,119,386"
"216,319,333","11,700,178","6,780,914","5,537,253","240,337,678"
"13,970,581",-,-,-,"13,970,581"
"34,572,523","1,509,446","1,908,501","1,064,753","39,055,223"
"536,342,689","21,325,877","22,676,480","10,742,992","591,088,038"
"430,781,371","13,751,586","18,115,509","7,241,618","469,890,084"
"10,497,192","3,472,419","14,434","791,239","14,775,284"
"6,096,755",-,-,-,"6,096,755"
"18,452,096","1,935,805","1,124,371","826,613","22,338,885"
"465,827,414","19,159,810","19,254,314","8,859,470","513,101,008"
"70,515,275","2,166,067","3,422,166","1,883,522","77,987,030"
"536,342,689","21,325,877","22,676,480","10,742,992","591,088,038"
