Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,H1 24 H1 25 ∆%,,,,,
Interest Income,"33,916","29,995",12%,"38,063","33,974",11%
Interest Expenses,"(19,845)","(11,418)",42%,"(21,612)","(13,126)",39%
Net Interest Income,"14,071","18,577",32%,"16,451","20,848",27%
FX Income,"3,269","2,126",(35%),"3,682","2,431",(34%)
Other Non- Interest Income,"8,322","7,648",(8%),"11,227","12,052",7%
Non – Funded Income,"11,591","9,774",(16%),"14,909","14,483",(3%)
Operating Income,"25,662","28,351",10%,"31,360","35,330",13%
Operating Expenses,"(13,022)","(14,667)",13%,"(16,486)","(18,553)",13%
Operating Profit,"12,640","13,684",8%,"14,874","16,777",13%
Impairments,"(2,413)","(2,704)",12%,"(2,710)","(3,227)",19%
Profit Before Tax,"10,227","10,980",7%,"12,165","13,551",11%
Tax,"(1,841)","(2,060)",12%,"(2,349)","(2,503)",7%
Profit after Tax,"8,386","8,920",6%,"9,815","11,047",13%
