NCBA GROUP PLC BOARD OF DIRECTORS,Column
DIRECTOR,DESIGNATION
J P M Ndegwa,"Group Chairman, Non-Executive"
D A Oyatsi,"Deputy Group Chairman, Independent"
J M Gachora,"Group Managing Director, Executive Director"
A H H Abdi,Independent Non-Executive Director
M M H Abdullahi,Independent Non-Executive Director
D S Abwoga,"Group Director Finance, Executive Director"
J S Armitage,Non-Executive Director
M Kenyatta *,Non-Executive Director
P R Lopokoiyit,Independent Non-Executive Director
A S M Ndegwa,Non-Executive Director
E N Ngaine,Non-Executive Director
K Thuo,Independent Non-Executive Director
"Notes:
• * M Kenyatta was appointed to the Board with effect from 1 December 2025.",
