Column,NCBA Bank Kenya,Column,Column,NCBA Group Consolidated,Column,Column
,Q3 24 Q3 25 ∆%,,,,,
Net Loans and Advances,"268,281","257,359",(4%),"303,453","292,718",(4%)
Investments,"188,510","189,445",0%,"217,511","222,358",2%
Cash and Balances with Banks,"83,916","80,640",(4%),"105,975","103,729",(2%)
Other Assets,"59,294","43,896",(26%),"51,893","46,514",(10%)
Total Assets,"600,001","571,340",(5%),"678,832","665,319",(2%)
Customer Deposits,"462,911","431,596",(7%),"515,109","487,963",(5%)
Borrowings,"25,507","8,028",(69%),"29,489","10,894",(63%)
Other Liabilities,"21,737","31,924",47%,"34,423","46,213",34%
Shareholders Equity,"89,846","99,792",11%,"99,811","120,249",20%
Total Liabilities & Equity,"600,001","571,340",(5%),"678,832","665,319",(2%)
