Director,Designation,Column,Board,BESC,BARC,BGNC,BICTC,"Strategy
Retreat"
J. P. M Ndegwa,"Chairman, Board",Membership,√,,,,,
,,Attendance,5/5,3/3,,1/1,,1/1
D. Oyatsi,"Deputy Chairman &
Chairman BGNC",Membership,√,,,√,,
,,Attendance,5/5,1/1,,4/4,,1/1
J. Gachora,"Group Managing
Director (ED)",Membership,√,√,,,√,
,,Attendance,5/5,10/10,5/5,4/4,4/4,1/1
I. O. Awuondo,"NED & Chairman,
BESC",Membership,√,√,,,√,
,,Attendance,5/5,10/10,,,4/4,1/1
E. N. Ngaine,INED,Membership,√,,,√,,
,,Attendance,5/5,,,4/4,,1/1
M. K. R. Shah,"INED & Chairman,
BARC",Membership,√,,√,,,
,,Attendance,5/5,,5/5,,,1/1
J. S. Armitage,NED,Membership,√,√,,,,
,,Attendance,3/5,8/10,,,,0/1
A. S. M. Ndegwa,NED,Membership,√,√,,,,
,,Attendance,5/5,9/10,,,,1/1
Hon A. H. Abdi,INED,Membership,√,,√,,,
,,Attendance,4/5,,5/5,,,1/1
D. Abwoga,ED,Membership,√,,,,,
,,Attendance,5/5,10/10,5/5,4/4,3/3,1/1
P. R. Lopokoiyit,INED,Membership,√,,√,√,,
,,Attendance,4/5,,4/5,4/4,,0/1
J. Somen *,"Co-opted member &
Chairman, BICTC",Membership,,,,,√,
,,Attendance,4/4,,,,4/4,1/1
KEY,,,,,,,,
BESC = Board Executive and Strategy Committee,,"BARC = Board Audit and Risk
Committee",,,NED = Non-Executive Director,,,
"BGNC = Board Governance and Nominations
Committee",,ED = Executive Director,,,INED = Independent Non-Executive Director,,,
BICTC = Board Information and Communication Technology Committee,,,,,,,,
